Date,Open,High,Low,Close,Volume,Adj Close
2016-12-09,23605.509766,23679.650391,23605.509766,23678.759766,000,23678.759766
2016-12-08,23464.359375,23609.310547,23437.390625,23553.710938,000,23553.710938
2016-12-07,23182.269531,23498.039062,23166.480469,23486.300781,000,23486.300781
2016-12-06,23116.589844,23200.019531,23062.050781,23195.679688,000,23195.679688
2016-12-05,23027.140625,23130.929688,23022.039062,23095.480469,000,23095.480469
2016-12-02,22913.699219,22992.949219,22891.660156,22928.720703,000,22928.720703
2016-12-01,23048.849609,23059.789062,22874.279297,22914.550781,000,22914.550781
2016-11-30,23130.75,23154.189453,22991.070312,22991.070312,000,22991.070312
2016-11-29,23005.50,23111.619141,22979.300781,23046.990234,000,23046.990234
2016-11-28,23122.75,23139.179688,23012.859375,23029.279297,000,23029.279297
2016-11-25,23105.529297,23168.240234,23102.449219,23168.220703,000,23168.220703
2016-11-23,22976.480469,23082.109375,22955.380859,23079.50,000,23079.50
2016-11-22,23029.839844,23064.580078,22951.380859,23047.480469,000,23047.480469
2016-11-21,22890.369141,22990.900391,22877.470703,22989.660156,000,22989.660156
2016-11-18,22849.070312,22869.400391,22780.880859,22805.929688,000,22805.929688
2016-11-17,22738.289062,22853.859375,22732.449219,22840.269531,000,22840.269531
2016-11-16,22686.060547,22753.960938,22674.580078,22723.359375,000,22723.359375
2016-11-15,22627.699219,22769.259766,22606.580078,22759.25,000,22759.25
2016-11-14,22589.330078,22655.609375,22497.550781,22596.519531,000,22596.519531
2016-11-11,22434.689453,22551.720703,22380.210938,22533.480469,000,22533.480469
2016-11-10,22553.580078,22655.660156,22328.789062,22498.099609,000,22498.099609
2016-11-09,22019.980469,22512.400391,22003.789062,22445.119141,000,22445.119141
2016-11-08,21983.570312,22208.519531,21962.410156,22133.570312,000,22133.570312
2016-11-07,21884.589844,22063.640625,21884.589844,22060.089844,000,22060.089844
2016-11-04,21595.029297,21740.980469,21583.939453,21594.279297,000,21594.279297
