Actor1Name,Actor1KnownGroupCode,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Name,Actor2KnownGroupCode,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumMentions,AvgTone
ADVOCATE,,JUD,,,,,,,,010,010,01,0.0,4,6.02910602910603
,,,,,JEWISH,,CVL,,,051,051,05,3.4,5,-2.91079812206573
ADVOCATE,,JUD,,,BUSINESS,,BUS,CVL,,051,051,05,3.4,6,6.02910602910603
ARGENTINEAN,,,,,JEWISH,,CVL,,,051,051,05,3.4,5,-2.91079812206573
ADVOCATE,,JUD,,,BUSINESS,,BUS,CVL,,051,051,05,3.4,4,6.02910602910603
ADVOCATE,,JUD,,,,,,,,010,010,01,0.0,6,6.02910602910603
AFRICA,,,,,VILLAGE,,CVL,,,190,190,19,-10.0,2,-5.26315789473684
UNITED STATES,,,,,,,,,,020,020,02,3.0,4,0.97087378640777
GENEVA,,,,,DRUG TRAFFICKER,,CRM,,,093,093,09,-2.0,2,-7.14285714285714
,,,,,ISRAEL,,,,,042,042,04,1.9,2,3.00429184549356
GERMANY,,,,,KAZAKHSTAN,,,,,051,051,05,3.4,8,0.66815144766147
GERMANY,,,,,KAZAKHSTAN,,,,,051,051,05,3.4,8,-0.44671346522017
CUBA,,,,,,,,,,043,043,04,2.8,3,3.00429184549356
ISRAEL,,,,,,,,,,043,043,04,2.8,3,3.00429184549356
FARMER,,AGR,,,,,,,,071,071,07,7.4,5,-0.564971751412426
GERMANY,,,,,KAZAKHSTAN,,,,,051,051,05,3.4,2,0.66815144766147
ROME,,,,,FARMER,,AGR,,,042,042,04,1.9,5,-3.00884955752213
OKLAHOMA,,,,,PRISON,,COP,,,173,173,17,-5.0,10,-9.31435963777493
UNITED KINGDOM,,,,,HOSPITAL,,HLH,,,010,010,01,0.0,8,-3.29113924050633
UNITED STATES,,,,,,,,,,010,010,01,0.0,4,1.36268343815514
OKLAHOMA,,,,,GANG,,CRM,,,112,112,11,-2.0,2,-9.31435963777493
,,,,,CUBA,,,,,042,042,04,1.9,3,3.00429184549356
FARMER,,AGR,,,LONDON,,,,,043,043,04,2.8,5,-2.68336314847942
,,,,,CUBA,,,,,042,042,04,1.9,1,3.00429184549356
GENEVA,,JUD,,,SWISS,,,,,093,093,09,-2.0,6,-7.14285714285714
CUBA,,,,,,,,,,043,043,04,2.8,1,3.00429184549356
FARMER,,AGR,,,EMPLOYEE,,LAB,,,071,071,07,7.4,5,-0.564971751412426
CUBA,,,,,,,,,,043,043,04,2.8,1,3.00429184549356
,,,,,CUBA,,,,,042,042,04,1.9,1,3.00429184549356
UNITED STATES,,,,,GANG,,CRM,,,112,112,11,-2.0,1,-9.31435963777493
,,,,,CUBA,,,,,042,042,04,1.9,5,3.00429184549356
SWITZERLAND,,,,,,,,,,120,120,12,-4.0,10,-0.76045627376425
FARMER,,AGR,,,ROME,,,,,043,043,04,2.8,5,-3.00884955752213
OKLAHOMA,,,,,GANG,,CRM,,,112,112,11,-2.0,7,-9.31435963777493
MILITARY,,MIL,,,,,,,,190,190,19,-10.0,10,-3.52941176470588
TANZANIA,,,,,UNITED NATIONS,UNO,IGO,,,190,190,19,-10.0,10,-4.21455938697318
UNITED KINGDOM,,,,,HOSPITAL,,HLH,,,111,111,11,-2.0,8,-3.29113924050633
GERMANY,,,,,KAZAKHSTAN,,,,,051,051,05,3.4,2,-0.44671346522017
UNITED STATES,,,,,,,,,,020,020,02,3.0,10,-2.54668930390492
CUBA,,,,,,,,,,043,043,04,2.8,5,3.00429184549356
AFRICA,,,,,VILLAGE,,CVL,,,190,190,19,-10.0,6,-5.26315789473684
ISRAEL,,,,,,,,,,043,043,04,2.8,2,3.00429184549356
LONDON,,,,,FARMER,,AGR,,,042,042,04,1.9,5,-2.68336314847942
,,,,,ISRAEL,,,,,042,042,04,1.9,3,3.00429184549356
CANADA,,,,,,,,,,020,020,02,3.0,2,-5.90909090909091
,,,,,CANADA,,,,,043,043,04,2.8,2,0.0
,,,,,CHRISTIANITY,,,,,051,051,05,3.4,10,-0.23771790808241
CANADA,,,,,,,,,,173,173,17,-5.0,2,-5.90909090909091
MEXICO,,,,,,,,,,010,010,01,0.0,1,-0.47573739295908
COMPANIES,,BUS,,,,,,,,070,070,07,7.0,10,2.77777777777778
ROME,,,,,FARMER,,AGR,,,042,042,04,1.9,5,-3.00884955752213
UNITED STATES,,,,,,,,,,0842,084,08,7.0,3,0.59288537549407
,,,,,CHRISTIANITY,,,,,051,051,05,3.4,4,-0.42052144659378
CANADA,,,,,,,,,,042,042,04,1.9,2,0.0
COMPANIES,,BUS,,,,,,,,071,071,07,7.4,10,-2.17391304347826
GOVERNMENT,,GOV,,,AFGHAN,,,,,110,110,11,-2.0,6,3.87323943661971
FARMER,,AGR,,,ROME,,,,,043,043,04,2.8,5,-3.00884955752213
SWITZERLAND,,,,,,,,,,120,120,12,-4.0,10,-0.76045627376425
UNITED STATES,,,,,,,,,,0842,084,08,7.0,3,0.59288537549407
GOVERNMENT,,GOV,,,AFGHANISTAN,,,,,110,110,11,-2.0,2,3.87323943661971
MILITARY,,MIL,,,,,,,,190,190,19,-10.0,10,-3.34728033472804
SOUTH CAROLINA,,,,,NEWSPAPER,,MED,,,190,190,19,-10.0,10,-7.08582834331337
GOVERNMENT,,GOV,,,AFGHANISTAN,,,,,110,110,11,-2.0,2,3.87323943661971
UNITED STATES,,EDU,,,SCHOOL,,EDU,,,020,020,02,3.0,2,-1.30718954248366
UNITED STATES,,,,,,,,,,043,043,04,2.8,4,-3.58126721763086
GERMANY,,,,,IMMIGRANT,,CVL,,,051,051,05,3.4,2,-0.98478066248881
,,,,,UNITED STATES,,,,,042,042,04,1.9,4,-3.58126721763086
SCHOOL,,EDU,,,,,,,,020,020,02,3.0,1,-1.30718954248366
UNITED STATES,,,,,SCHOOL,,EDU,,,020,020,02,3.0,4,-1.30718954248366
,,,,,NORTH AMERICA,,,,,042,042,04,1.9,2,-3.58126721763086
GOVERNMENT,,GOV,,,FARMER,,AGR,,,042,042,04,1.9,10,2.11267605633802
SWITZERLAND,,,,,,,,,,120,120,12,-4.0,10,-0.76045627376425
GERMANY,,,,,IMMIGRANT,,CVL,,,051,051,05,3.4,8,-0.98478066248881
FARMER,,AGR,,,GOVERNMENT,,GOV,,,043,043,04,2.8,2,2.11267605633802
AUSTRALIA,,,,,,,,,,051,051,05,3.4,5,-2.91733922351542
NORTH AMERICA,,,,,,,,,,043,043,04,2.8,2,-3.58126721763086
FARMER,,AGR,,,GOVERNMENT,,GOV,,,043,043,04,2.8,8,2.11267605633802
AUSTRALIA,,,,,,,,,,051,051,05,3.4,5,-2.91733922351542
,,,,,CANADA,,,,,043,043,04,2.8,4,0.0
NORTH AMERICA,,,,,UNITED STATES,,,,,043,043,04,2.8,4,-3.58126721763086
CANADA,,,,,,,,,,042,042,04,1.9,4,0.0
UNITED STATES,,,,,NORTH AMERICA,,,,,042,042,04,1.9,4,-3.58126721763086
MISSOURI,,,,,,,,,,071,071,07,7.4,3,-1.6973125884017
PAKISTAN,,,,,AFGHANISTAN,,,,,051,051,05,3.4,2,-3.4324942791762
UNITED STATES,,,,,,,,,,070,070,07,7.0,2,6.75438596491228
,,,,,UNITED STATES,,,,,042,042,04,1.9,2,6.75438596491228
PRESIDENT,,GOV,,,SETTLEMENT,,CVL,,,100,100,10,-5.0,10,-3.75360923965351
AUSTRALIA,,,,,,,,,,051,051,05,3.4,1,-2.9082774049217
AUSTRALIA,,,,,,,,,,051,051,05,3.4,1,-2.9082774049217
POLICE,,COP,,,AFRICANS,,,,,112,112,11,-2.0,10,-5.35714285714286
POPULATION,,CVL,,,,,,,,120,120,12,-4.0,10,-2.28050171037629
BUSINESS LEADER,,BUS,,,MICHIGAN,,,,,071,071,07,7.4,9,3.42577487765089
PRESIDENT,,GOV,,,SETTLEMENT,,CVL,,,100,100,10,-5.0,10,-0.23889154323937
UNITED STATES,,LEG,,,,,,,,083,083,08,5.0,2,-0.2486016159105
UNITED STATES,,,,,,,,,,194,194,19,-10.0,6,-8.33333333333334
BUSINESS LEADER,,BUS,,,,,,,,020,020,02,3.0,9,3.42577487765089
UNITED STATES,,,,,,,,,,043,043,04,2.8,2,6.75438596491228
SETTLEMENT,,CVL,,,ISRAEL,,,,,141,141,14,-6.5,5,-7.96915167095116
PAKISTAN,,,,,AFGHAN,,,,,051,051,05,3.4,6,-3.4324942791762
LAWMAKER,,LEG,,,KING,,GOV,,,083,083,08,5.0,6,-0.2486016159105
LAWMAKER,,LEG,,,UNITED STATES,,GOV,,,083,083,08,5.0,2,-0.2486016159105
COMMUNITY,,CVL,EDU,,UNITED STATES,,,,,173,173,17,-5.0,2,0.239234449760766
NEW JERSEY,,,,,,,,,,193,193,19,-10.0,10,-3.02066772655008
COMPANY,,BUS,,,POLISH,,,,,051,051,05,3.4,8,2.63157894736842
INTELLIGENCE,,SPY,,,GOVERNMENT,,GOV,,,110,110,11,-2.0,10,-4.53333333333333
IRANIAN,,,,,,,,,,192,192,19,-9.5,10,-2.35294117647059
