SQLDate,Actor1Name,Actor1KnownGroupCode,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Name,Actor2KnownGroupCode,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,EventCode,EventBaseCode,EventRootCode,GoldsteinScale,NumMentions,AvgTone
20140225,POLICE OFFICER,,COP,,,PHILADELPHIA,,,,,173,173,17,-5.0,54,-10.7759844134149
20140302,CLEVELAND,,,,,,,,,,173,173,17,-5.0,60,-11.7210251716721
20140302,CLEVELAND,,,,,,,,,,173,173,17,-5.0,90,-12.037555763046
20140302,CLEVELAND,,,,,APPEALS COURT,,JUD,,,110,110,11,-2.0,60,-11.7210251716721
20140302,CLEVELAND,,,,,APPEALS COURT,,JUD,,,110,110,11,-2.0,90,-12.037555763046
20140316,MISSOURI,,CVL,,,POLICE,,COP,,,193,193,19,-10.0,54,-11.8055555555556
20140324,CHINA,,,,,,,,,,190,190,19,-10.0,100,-15.013699649662
20140324,BEIJING,,,,,SEPARATIST,,SEP,,,1123,112,11,-2.0,100,-15.013699649662
20140324,BEIJING,,,,,MUSLIM,,RAD,,,1123,112,11,-2.0,100,-15.013699649662
20140327,MISSOURI,,,,,JEWISH,,,,,016,016,01,-2.0,100,-18.4098001451788
20140331,,,,,,UPRISING,,REB,,,0874,087,08,10.0,70,-10.4300901275552
20140407,SOUTH CAROLINA,,,,,POLICE OFFICER,,COP,,,193,193,19,-10.0,88,-13.0480805277565
20140407,SOUTH CAROLINA,,,,,POLICE OFFICER,,COP,,,173,173,17,-5.0,66,-13.0480805277565
20140407,MILITANT,,UAF,,,LEBANESE,,,,,190,190,19,-10.0,64,-12.0679077748048
20140408,SOUTH CAROLINA,,,,,POLICE OFFICER,,COP,,,193,193,19,-10.0,106,-12.8589892691225
20140408,SOUTH CAROLINA,,,,,POLICE OFFICER,,COP,,,173,173,17,-5.0,78,-12.8731772911977
20140418,SPOKESMAN,,MED,,,AUSTRALIA,,,,,020,020,02,3.0,64,-11.3010316077675
20140425,ATTORNEY,,JUD,,,,,,,,081,081,08,5.0,56,-11.125896783152
20140425,ATTORNEY,,JUD,,,,,,,,190,190,19,-10.0,56,-11.125896783152
20140425,ATTORNEY,,JUD,,,,,,,,010,010,01,0.0,56,-11.125896783152
20140427,JUDGE,,JUD,,,LAWMAN,,GOV,,,172,172,17,-5.0,54,-12.7078006177966
20140427,JUDGE,,JUD,,,,,,,,173,173,17,-5.0,72,-12.7078006177966
20140428,CAPTAIN,,MIL,,,PRISON,,COP,,,173,173,17,-5.0,130,-10.2965986512616
